method,noise_pm,n_steps,med_actual_step,med_natural_dx0,med_natural_dx1,frac_v1_up,frac_v1_down,p50_scale_v1,p90_scale_v1,p99_scale_v1,p50_scale_v0,p90_scale_v0
GAD dt=0.003,10,222921,1.2145583241363056e-05,0.0002637613816186534,0.021424945232565433,0.9990131032966836,0.00024223828172312165,1765.6278154792078,14271.543712220737,34885.46471276704,29.79649669457249,202.07191056512295
GAD dt=0.003,30,275784,1.8046109289571177e-05,0.00036162087250048603,0.031042944102359638,0.9989049400980478,0.0002828300409015751,1663.1669110150674,13791.346138697296,34133.7408487413,27.889285065546858,200.62828497659766
GAD dt=0.003,50,1171953,3.324321369291283e-05,0.0010843285241149566,0.07621139016900962,0.9949904134380816,0.0010956070763929952,1883.6937123508105,15104.58086956747,55737.945189053535,34.99339249915081,462.46382034248757
GAD dt=0.003,100,589638,2.9321226065803785e-05,0.000778498018210629,0.07221904075143559,0.9948629498098833,0.0010073977593031656,1937.0956668110014,15683.900172016132,57758.829102213895,31.599042769241855,293.2240639284843
GAD dt=0.003,150,822875,4.323530083638616e-05,0.0017596262175776814,0.09659465564587398,0.9951450706364879,0.0011958073826522863,1919.3317467595016,15120.029172944682,64536.288080398095,38.425231946593456,1110.3301513002284
GAD dt=0.003,200,1014612,7.903705045464449e-05,0.0025914774807699525,0.1384282580852011,0.9909088400294891,0.003490989659101213,1884.681441572805,14972.149327331112,196783.84989298848,29.918642079262508,602.6456621437505
GAD dt=0.005,10,198751,8.576680556870997e-06,0.0001926272900377,0.016378800975266113,0.998364788101695,0.0003572309070143043,1163.1464531480965,9236.674046379869,54276.65598576538,19.6362669271509,123.27876479943006
GAD dt=0.005,30,234299,1.4183660823618993e-05,0.00023507830828276154,0.022486558982087727,0.9982671714347906,0.0004737536225079919,1083.9071096264051,8999.177302259803,42343.7633108021,19.064238886780497,124.46332443435786
GAD dt=0.005,50,1035807,3.756049773073755e-05,0.0007710906815368773,0.0575031251716592,0.9934312087097307,0.001641232391748656,1264.0497690453162,11516.427611599065,45601.07692964841,25.068066500736172,316.0265308883109
GAD dt=0.005,100,517917,3.2960069802356884e-05,0.0005719946323642893,0.056005303062709906,0.9923115093731235,0.0013650835944755628,1277.2206066138895,11022.442802013704,49173.40776437704,23.66611029392901,193.34713702580044
GAD dt=0.005,150,743200,4.744541547552217e-05,0.0012005872202047042,0.0710369511622452,0.9917088266953714,0.00207481162540366,1298.4989163164782,12119.107725484797,45670.35742604596,27.776658721952565,693.3390173674995
GAD dt=0.005,200,940687,7.78920657467097e-05,0.0015020196623587655,0.0982495426410129,0.9877164242728984,0.0027841354244291672,1341.0890353487684,10783.81447537221,113463.10021464912,20.295188609364555,382.72696804737353
GAD dt=0.007,10,187309,9.294572919316124e-06,0.00016534211169698458,0.012975907614701016,0.9917729527144985,0.0006513301549845443,746.7081852603399,6363.101278729141,20241.064638210235,12.641708961336805,74.01437658237843
GAD dt=0.007,30,210518,1.1497043942654273e-05,0.0001857305416598694,0.016548860496312802,0.9925042039160547,0.0006507757056403728,692.4660123643973,6217.648103340092,19509.521315930786,12.18465680028185,87.05380152727815
GAD dt=0.007,50,971401,3.9707676478428766e-05,0.0006249939109174729,0.04713268080374809,0.9825468575799283,0.005079261808460152,882.7090626332564,8706.43467474489,37874.64502778482,19.190195477221607,267.6450076837385
GAD dt=0.007,100,477497,3.431126242503524e-05,0.0004866519510927467,0.04719240019511856,0.9888899825548643,0.002083782725336494,852.9692785935825,7536.40676321343,27374.25244324423,18.28986086516829,151.79833378480993
GAD dt=0.007,150,702192,5.448935735330451e-05,0.0009785300886359584,0.05968941614516657,0.9781712124319274,0.006760259302299086,912.5982099287683,9498.288391604881,43794.787524175474,22.557835668533393,567.8599296143943
GAD dt=0.007,200,905170,7.579466182505712e-05,0.0009081643424651961,0.0675081193839614,0.9689583172221793,0.011853022084249367,888.6475152352982,9104.610894128518,72245.36043768139,12.93643124525677,216.15151320219684
