rundir,noise_pm,n_steps,mean_step,med_step,p95_step,max_step,mean_newton_step,mean_gad_step
hybrid_damped_eckart_swtrue_dt5e-3_tr0.05_10pm,10,44081,0.005908982464968335,0.001059883490450362,0.05,0.05,0.007234945169089382,0.0003902794722158233
hybrid_swfalse_dt5e-3_tr0.005_10pm,10,69542,0.00039260754013705894,0.00017938014919086754,0.001326329511366856,0.004999999999999976,,0.00039260754013705894
hybrid_swfalse_dt5e-3_tr0.10_10pm,10,69123,0.0004030840732082372,0.00017813566973288542,0.001143439240064806,0.044530930581509184,,0.0004030840732082372
hybrid_damped_eckart_swtrue_dt5e-3_tr0.05_30pm,30,48162,0.0063415106634440695,0.001167897786065618,0.05,0.05,0.0077505147153434945,0.0017420911005960947
hybrid_damped_eckart_swtrue_dt5e-3_tr0.05_50pm,50,60620,0.007877546103661676,0.0012934031161305668,0.05,0.05,0.009972642139816659,0.002563736702989856
hybrid_damped_eckart_swtrue_dt5e-3_tr0.05_100pm,100,110410,0.007627662124672927,0.0011367720579412905,0.05,0.05,0.012112512042335299,0.0028359443092551228
hybrid_swfalse_dt5e-3_tr0.005_100pm,100,201714,0.0014171813219002966,0.00046817796535244605,0.004999999999999979,0.004999999999999994,,0.0014171813219002966
hybrid_swfalse_dt5e-3_tr0.10_100pm,100,188657,0.0026544472660273966,0.00037053738919044137,0.016817192287312235,0.09999999999999987,,0.0026544472660273966
hybrid_damped_eckart_swtrue_dt5e-3_tr0.05_150pm,150,157363,0.007523818975648893,0.0014506089122657338,0.05,0.05,0.01652990714065801,0.00368403864643958
hybrid_damped_eckart_swtrue_dt5e-3_tr0.05_200pm,200,206454,0.006882836908268991,0.0020688274626697927,0.049999999999999996,0.05,0.01592850673719412,0.004524906149331939
