rundir,noise_pm,n_tried,n_topo_intended,n_topo_half,topo_pct,topo_half_pct,topo_any_pct
gad_dt003_fmax,10,287,254.0,33.0,88.50174216027875,11.498257839721255,100.0
gad_dt003_fmax,30,287,256.0,29.0,89.19860627177701,10.104529616724738,99.30313588850174
gad_dt003_fmax,50,287,255.0,29.0,88.85017421602788,10.104529616724738,98.95470383275261
gad_dt003_fmax,100,287,225.0,40.0,78.397212543554,13.937282229965156,92.33449477351917
gad_dt003_fmax,150,287,175.0,75.0,60.97560975609756,26.13240418118467,87.10801393728224
gad_dt003_fmax,200,287,128.0,78.0,44.599303135888505,27.177700348432055,71.77700348432056
gad_dt005_fmax,10,287,255.0,32.0,88.85017421602788,11.149825783972126,100.0
gad_dt005_fmax,30,287,256.0,29.0,89.19860627177701,10.104529616724738,99.30313588850174
gad_dt005_fmax,50,287,255.0,29.0,88.85017421602788,10.104529616724738,98.95470383275261
gad_dt005_fmax,100,287,224.0,42.0,78.04878048780488,14.634146341463415,92.6829268292683
gad_dt005_fmax,150,287,177.0,69.0,61.67247386759582,24.041811846689896,85.71428571428572
gad_dt005_fmax,200,287,128.0,80.0,44.599303135888505,27.874564459930312,72.47386759581882
gad_dt007_fmax,10,287,254.0,33.0,88.50174216027875,11.498257839721255,100.0
gad_dt007_fmax,30,287,254.0,31.0,88.50174216027875,10.801393728222996,99.30313588850174
gad_dt007_fmax,50,287,254.0,30.0,88.50174216027875,10.452961672473867,98.95470383275261
gad_dt007_fmax,100,287,225.0,41.0,78.397212543554,14.285714285714286,92.6829268292683
gad_dt007_fmax,150,287,177.0,67.0,61.67247386759582,23.34494773519164,85.01742160278746
gad_dt007_fmax,200,287,126.0,86.0,43.90243902439025,29.965156794425088,73.86759581881533
sella_carteck_default,10,287,255.0,32.0,88.85017421602788,11.149825783972126,100.0
sella_carteck_default,30,287,255.0,31.0,88.85017421602788,10.801393728222996,99.65156794425087
sella_carteck_default,50,287,251.0,32.0,87.45644599303135,11.149825783972126,98.60627177700349
sella_carteck_default,100,287,203.0,61.0,70.73170731707317,21.254355400696863,91.98606271777004
sella_carteck_default,150,287,134.0,73.0,46.68989547038328,25.43554006968641,72.12543554006969
sella_carteck_default,200,287,51.0,108.0,17.770034843205575,37.63066202090592,55.400696864111495
sella_carteck_libdef,10,287,256.0,30.0,89.19860627177701,10.452961672473867,99.65156794425087
sella_carteck_libdef,30,287,256.0,30.0,89.19860627177701,10.452961672473867,99.65156794425087
sella_carteck_libdef,50,287,251.0,32.0,87.45644599303135,11.149825783972126,98.60627177700349
sella_carteck_libdef,100,287,208.0,55.0,72.47386759581882,19.16376306620209,91.63763066202091
sella_carteck_libdef,150,287,143.0,88.0,49.825783972125436,30.662020905923345,80.48780487804878
sella_carteck_libdef,200,287,67.0,101.0,23.34494773519164,35.19163763066202,58.53658536585366
sella_internal_default,10,287,253.0,34.0,88.15331010452962,11.846689895470384,100.0
sella_internal_default,30,287,251.0,33.0,87.45644599303135,11.498257839721255,98.95470383275261
sella_internal_default,50,287,239.0,40.0,83.27526132404181,13.937282229965156,97.21254355400697
sella_internal_default,100,287,185.0,62.0,64.45993031358886,21.60278745644599,86.06271777003485
